iter	RMSE
143	0.442028223
144	0.4407717271
145	0.4400438479
146	0.4393628298
147	0.4384456756
148	0.4379574572
149	0.4374018809
150	0.4367839014
151	0.4362417824
152	0.4359393447
153	0.4353120947
154	0.4347850996
155	0.4337807934
156	0.4332981743
157	0.4327646196
158	0.4320226739
159	0.4313222974
160	0.4307549072
161	0.4303265773
162	0.4299882858
163	0.4294807032
164	0.4288299174
165	0.4283223893
166	0.4278923799
167	0.4274686013
168	0.4270132099
169	0.4266295181
170	0.4262665748
171	0.4258942147
172	0.425423936
173	0.4250046714
174	0.424583481
175	0.4239859437
176	0.4235187331
177	0.4230084201
178	0.4224863629
179	0.4219620643
180	0.4217208014
181	0.4211934058
182	0.4203422019
183	0.4199524753
184	0.4195909408
185	0.4191361083
186	0.4187578635
187	0.4183456212
188	0.4179731985
189	0.4174519989
190	0.417082712
191	0.4166575304
192	0.4162857309
193	0.4157585285
194	0.4153889499
195	0.4150920344
196	0.414881169
197	0.4145938282
198	0.4141240786
199	0.4136605587
200	0.4131166444
201	0.4128180801
202	0.4125191081
203	0.4121189427
204	0.4116181413
205	0.4113374649
206	0.4108789507
207	0.4105731704
208	0.4102729347
209	0.4097371778
210	0.4093822897
211	0.4088233104
212	0.4083994906
213	0.4079431307
214	0.4076975235
215	0.4071946738
216	0.4068898639
217	0.4064493468
218	0.4062048791
219	0.4059201972
220	0.4055862072
221	0.405076479
222	0.4047659392
223	0.4043586757
224	0.4040247516
225	0.4036065968
226	0.403386684
227	0.4029195874
228	0.4026734458
229	0.4023502453
230	0.4020165876
231	0.4017046479
232	0.4013218065
233	0.4007215963
234	0.4004001584
235	0.4001441357
236	0.3999579599
237	0.3996607127
238	0.3991977009
239	0.3987739294
240	0.3984742688
241	0.3982142375
242	0.3978933171
243	0.3975671758
244	0.3972086762
245	0.3968526047
246	0.3966035069
247	0.3962609653
248	0.3960158206
249	0.3958149803
250	0.3953929938
251	0.3950332461
252	0.3947498534
253	0.3942937911
254	0.3940907142
255	0.3937409754
256	0.3932399448
257	0.3929453894
258	0.3925098101
259	0.3922461096
260	0.3916918106
261	0.3912543519
262	0.3909170134
263	0.3902869866
264	0.3900013615
265	0.3896896059
266	0.3891084507
267	0.3887852007
268	0.388419076
269	0.3881717493
270	0.3877407645
271	0.3872966792
272	0.3869525321
273	0.3866757473
274	0.3864356671
275	0.3860837551
276	0.3857103004
277	0.385371106
278	0.3850083425
279	0.3846122918
280	0.3841850421
281	0.3839373757
282	0.38363223
283	0.3833292626
284	0.3830496507
285	0.3827653738
286	0.3824238923
287	0.3822168416
288	0.3819079148
289	0.3815848134
290	0.3812659287
291	0.3809090111
292	0.3806638672
293	0.3803951471
294	0.3800335659
295	0.37978839
296	0.3795040081
297	0.3792517323
298	0.378992344
299	0.378794418
300	0.3785253484
301	0.3781680853
302	0.3779179405
303	0.3777528747
304	0.3774931756
305	0.3773643214
306	0.3767722865
307	0.3765575393
308	0.376166514
309	0.3758956207
310	0.3756188565
311	0.3753177423
312	0.3750096292
313	0.3748262539
314	0.3745123524
315	0.3742121937
316	0.3740020881
317	0.3737046286
318	0.3734562387
319	0.3731051856
320	0.3728495266
321	0.3725187219
322	0.3722455186
323	0.3719662746
324	0.3718108175
325	0.3715381559
326	0.3713759536
327	0.3711642091
328	0.3709337247
329	0.370700602
330	0.3703215337
331	0.3701586454
332	0.3699659106
333	0.369598898
334	0.3692827868
335	0.3690335794
336	0.3687822724
337	0.368567064
338	0.3683917768
339	0.3681817371
340	0.3679597493
341	0.3676055364
342	0.3672518251
343	0.3670336401
344	0.3668820415
345	0.3667545351
346	0.3663993211
347	0.3660103797
348	0.3658235202
349	0.3656104576
350	0.3653821605
351	0.3651214104
352	0.364862497
353	0.3645635594
354	0.3643637998
355	0.3640624288
356	0.3639284111
357	0.3634707418
358	0.3631800411
359	0.3629941133
360	0.3628411022
361	0.3626038078
362	0.3624283918
363	0.3617884974
364	0.3615319628
365	0.3613261033
366	0.3611179528
367	0.3609932431
368	0.3608004453
369	0.3605484914
370	0.3602720593
371	0.3599972507
372	0.3597364404
373	0.3595084031
374	0.3590285948
375	0.3588200307
376	0.3586125494
377	0.3584246805
378	0.3582022185
379	0.3580421912
380	0.3577896234
381	0.3575316958
382	0.3573050565
383	0.3571612837
384	0.3568718664
385	0.3566503479
386	0.3564383329
387	0.3561672458
388	0.3560004258
389	0.3557234902
390	0.3555278709
391	0.3552118472
392	0.3549371408
393	0.3545090289
394	0.3542341915
395	0.3539415135
396	0.3536898889
397	0.3534367655
398	0.3533023868
399	0.3530666517
400	0.352942192
401	0.3527333947
402	0.3525557207
403	0.3523828758
404	0.352127941
405	0.3519665901
406	0.3516479081
407	0.3514697364
408	0.3509702631
409	0.3508059246
410	0.3505586164
411	0.350306676
412	0.3500887348
413	0.3499282372
414	0.3497624697
415	0.349688591
416	0.3495002571
417	0.3493645873
418	0.3491377779
419	0.3489358446
420	0.3487295223
421	0.3485798528
422	0.3484212693
423	0.3482338635
424	0.3479448
425	0.3477722452
426	0.3476422077
427	0.3474830868
428	0.3472480892
429	0.3470518903
430	0.3466812484
431	0.3464972096
432	0.3460911179
433	0.3459294095
434	0.3456283798
435	0.3453724502
436	0.3451717647
437	0.3449191275
438	0.3447236526
439	0.3445055952
440	0.3443487714
441	0.3439380905
442	0.3437231959
443	0.3434787936
444	0.3432384086
445	0.342975678
446	0.3427766695
447	0.3426044475
448	0.3423290561
449	0.341969467
450	0.3417278992
451	0.341599799
452	0.3414740625
453	0.3413344782
454	0.3409916154
455	0.3408157213
456	0.3406530002
457	0.3404947261
458	0.3403838968
459	0.3402439682
460	0.3399671778
461	0.3398383702
462	0.3396907101
463	0.339531709
464	0.3394365624
465	0.3392720326
466	0.3391012375
467	0.3388243482
468	0.3386740577
469	0.3384252623
470	0.3382113158
471	0.3380099263
472	0.3377355965
473	0.3376188157
474	0.3374733188
475	0.3372760747
476	0.3370777174
477	0.336975818
478	0.3367769565
479	0.3366205203
480	0.3365118613
481	0.3363807651
482	0.3361897113
483	0.3360170297
484	0.3358544761
485	0.3356923396
486	0.335500724
487	0.3352547024
488	0.3350064377
489	0.3348027669
490	0.3346247566
491	0.3344887101
492	0.3343316283
493	0.3339571968
494	0.3338339793
495	0.3336307019
496	0.3334907813
497	0.3332432353
498	0.3331098952
499	0.3329548292
500	0.3328393258
501	0.332690257
502	0.3324468365
503	0.3321816449
504	0.3319437979
505	0.3317673998
506	0.3315675393
507	0.3314405825
508	0.3312682729
509	0.3310509136
510	0.3309055985
511	0.3307182594
512	0.3306332693
513	0.3304933489
514	0.3302829502
515	0.3300820187
516	0.3299405649
517	0.3297797469
518	0.3294874859
519	0.329351033
520	0.329250878
521	0.3289551239
522	0.3286923911
523	0.3285851308
524	0.3283868411
525	0.3282457818
526	0.3280418541
527	0.3278734548
528	0.3276334618
529	0.3274293031
530	0.3272244206
531	0.3270193274
532	0.3268837993
533	0.3266452871
534	0.3264694697
535	0.3262934177
536	0.3261433085
537	0.3260060145
538	0.3257421505
539	0.3255296346
540	0.325289215
541	0.3251017598
542	0.3248760653
543	0.3246450856
544	0.3244622854
545	0.3242923288
546	0.3241137459
547	0.3239920963
548	0.3238097398
549	0.3236153803
550	0.3233848068
551	0.3231629499
552	0.3229714379
553	0.3228676392
554	0.3226748121
555	0.3225577436
556	0.3223879782
557	0.3222871627
558	0.3220826954
559	0.3218776457
560	0.3216965219
561	0.3214807518
562	0.3213344236
563	0.3212251297
564	0.3210222455
565	0.3207820285
566	0.3206171733
567	0.3204100461
568	0.3203201189
569	0.3202270906
570	0.3199956732
571	0.319686884
572	0.3194438606
573	0.3193791693
574	0.3192352333
575	0.3190454343
576	0.3188838379
577	0.3187474215
578	0.3185941936
579	0.3184293578
580	0.3183375556
581	0.3182265531
582	0.3181081263
583	0.3178988916
584	0.3178342904
585	0.3176726199
586	0.3174782982
587	0.3172650888
588	0.3171392536
589	0.3169552386
590	0.3168049828
591	0.3166741226
592	0.3165040465
593	0.3163770504
594	0.3162334705
595	0.3160652575
596	0.3159469719
597	0.3158097366
598	0.3155946098
599	0.3154564927
600	0.3152681863
601	0.3151511721
602	0.3150325194
603	0.3148309496
604	0.3145475275
605	0.3143864417
606	0.3142379627
607	0.3141244496
608	0.3139854124
609	0.3138416342
610	0.3137230705
611	0.3136072905
612	0.313496346
613	0.3133110915
614	0.3130844677
615	0.3129235505
616	0.312793409
617	0.3126907165
618	0.3124624981
619	0.3121886537
620	0.3119967407
621	0.3118595525
622	0.3116814859
623	0.3114587602
624	0.3113091834
625	0.3110436524
626	0.3109431355
627	0.3108211537
628	0.3106853654
629	0.3105447162
630	0.3103846178
631	0.310242034
632	0.3101552373
633	0.3100270923
634	0.3098692885
635	0.3096657361
636	0.3094066519
637	0.309218497
638	0.3090797617
639	0.308922462
640	0.3087897633
641	0.3086804942
642	0.3085459743
643	0.3082580565
644	0.3080260384
645	0.3078872193
646	0.3077473472
647	0.3075561356
648	0.3073831494
649	0.3072348048
650	0.3071104524
651	0.3069984411
652	0.3068251297
653	0.3066938289
654	0.3065609337
655	0.3064102167
656	0.3062739367
657	0.3060867391
658	0.305980826
659	0.3057918731
660	0.3056707898
661	0.3055599184
662	0.3053378194
663	0.3050913775
664	0.3049070911
665	0.3047530823
666	0.3046436019
667	0.3045410565
668	0.3043582333
669	0.304168667
670	0.3039782008
671	0.3037860234
672	0.3036088377
673	0.3034644867
674	0.3033815334
675	0.3032854629
676	0.3031671414
677	0.3030520901
678	0.302947639
679	0.3027652521
680	0.3026463421
681	0.3025150566
682	0.3023687621
683	0.3022486083
684	0.3020671424
685	0.3018267556
686	0.3016874641
687	0.3015774832
688	0.3014219479
689	0.3012513778
690	0.3011141341
691	0.3010598389
692	0.3009456668
693	0.3007944244
694	0.3006941612
695	0.300593113
696	0.3004598412
697	0.3003363339
698	0.3002108076
699	0.3001051665
700	0.2999760337
701	0.2998184893
702	0.299655543
703	0.299443579
704	0.2993384654
705	0.299168679
706	0.2989652836
707	0.2988593921
708	0.2987603013
709	0.2986684423
710	0.2985149161
711	0.2984295716
712	0.2983508197
713	0.2982116872
714	0.2981206135
715	0.2979948042
716	0.2979103138
717	0.2977951885
718	0.2976791756
719	0.2975585403
720	0.2974991483
721	0.2973399971
722	0.2972828985
723	0.2972142417
724	0.2970861144
725	0.2969186024
726	0.2967707272
727	0.2966488033
728	0.2964548928
729	0.2962613322
730	0.2961303725
731	0.29599776
732	0.2958590399
733	0.2957258395
734	0.2956240344
735	0.2955399733
736	0.2954024525
737	0.2952350817
738	0.2951692624
739	0.2950582615
740	0.2949301826
741	0.2948122844
742	0.2946654574
743	0.2945867362
744	0.2944507188
745	0.294285902
746	0.2941991681
747	0.2940917301
748	0.2939804536
749	0.2939507463
750	0.2938450459
751	0.2937425202
752	0.2936413327
753	0.2934324661
754	0.2932433637
755	0.293094387
756	0.2929487502
757	0.2927957509
758	0.2927305969
759	0.2925960635
760	0.2924974408
761	0.2923511661
762	0.2922787452
763	0.2921877784
764	0.2920762501
765	0.2919642362
766	0.2918079047
767	0.2917249193
768	0.2915765172
769	0.2915028921
770	0.2913824268
771	0.2912800279
772	0.2911651005
773	0.2910604421
774	0.2909258513
775	0.290842444
776	0.2906818229
777	0.2905661614
778	0.2904744563
779	0.2903025257
780	0.2902132247
781	0.2900818149
782	0.2898619069
783	0.2897217776
784	0.2896107821
785	0.2895429646
786	0.2894675015
787	0.2893284524
788	0.2891732136
789	0.2890687849
790	0.2889807758
791	0.2887952384
792	0.288722751
793	0.2885986181
794	0.2884463239
795	0.288279146
796	0.2881579658
797	0.2880802928
798	0.2879194822
799	0.2878306959
800	0.2877193048
801	0.2876107152
802	0.2874527234
803	0.287350824
804	0.2872328818
805	0.2870686194
806	0.2869444799
807	0.2868260537
808	0.2866934893
809	0.2865343798
810	0.2863361564
811	0.2862096522
812	0.2860869485
813	0.2859782952
814	0.2857864031
815	0.2856772104
816	0.2854843848
817	0.2853244652
818	0.2852034075
819	0.2850852706
820	0.2849579851
821	0.2848455599
822	0.2846146666
823	0.2845391254
824	0.284367402
825	0.2842245501
826	0.2841408295
827	0.2839120831
828	0.2838010678
829	0.2837446849
830	0.2836959809
831	0.283560832
832	0.2834175267
833	0.2833435992
834	0.2831973439
835	0.2830890277
836	0.2830458966
837	0.2829399714
838	0.2828136593
839	0.2827233574
840	0.282653175
841	0.2824911696
842	0.2823937933
843	0.2822600088
844	0.2821148308
845	0.2819543025
846	0.2818727622
847	0.281719059
848	0.2815982888
849	0.2814600673
850	0.2813401588
851	0.2811831862
852	0.2810775542
853	0.2809675381
854	0.2808544286
855	0.2807144624
856	0.2806418082
857	0.2805192391
858	0.2804359387
859	0.2802544975
860	0.2801025617
861	0.2799941603
862	0.2798875518
863	0.2797409553
864	0.2796540029
865	0.2795470472
866	0.2794083204
867	0.2792277967
868	0.2791182575
869	0.2789549341
870	0.2788361107
871	0.2787812396
872	0.2785482058
873	0.2783825158
874	0.2782909604
875	0.2779787049
876	0.2778758249
877	0.2776913227
878	0.277594906
